ID,Name,Sector,City,Funding Stage,International Presence,English Requirement,Score,Outreach_Week
173,Stelia Aerospace Morocco (Airbus Atlantic),Aerostructures,Casablanca,Subsidiary (Airbus),Global — France/EU HQ,Very High — English Airbus reporting,80,Week 3
175,Figeac Aéro Morocco,Aerospace Machining,Casablanca,Subsidiary (Figeac Aéro),Global — France HQ,High — English customer interface,80,Week 3
179,Laprophan,Pharma / R&D,Casablanca,Established,"Europe, Africa, Americas",Very High — English patent & regulatory,80,Week 3
191,OCP Group,Mining / Fertilizers,Casablanca & Khouribga,State conglomerate,Global — exports to 160+ countries,Very High — English international sales & R&D,80,Week 3
192,OCP Green Energy,Renewable Energy,Benguerir,Subsidiary (OCP),Global via parent,Very High — English green energy partnerships,80,Week 3
197,Schneider Electric Morocco,Energy Management,Casablanca,Subsidiary (Schneider),Global — France HQ,Very High — English corporate,80,Week 3
198,Engie Morocco,Energy / Services,Casablanca,Subsidiary (Engie),Global — France HQ,Very High — English operations,80,Week 3
199,TotalEnergies Morocco,Energy / Hydrocarbons,Casablanca,Subsidiary (TotalEnergies),Global — France HQ,Very High — English corporate language,80,Week 3
200,Shell Morocco,Energy / Lubricants,Casablanca,Subsidiary (Shell),Global — UK/Netherlands HQ,Very High — English-only corporate,80,Week 3
201,Maroc Telecom (IAM),Telecom,Rabat,Listed (Casablanca + Paris),10 African countries (Moov Africa),Very High — English for pan-African ops,80,Week 3
203,Inwi,Telecom,Casablanca,Established (Al Mada / Zain),Roaming partnerships globally,High — English roaming/partner management,80,Week 3
205,Sofrecom Morocco (Orange Consulting),Telecom Consulting,Rabat,Subsidiary (Orange),"Africa, Middle East — 18 countries",Very High — English telecom advisory,80,Week 3
207,STMicroelectronics Morocco,Semiconductors,Casablanca,Subsidiary (STMicro),Global — Switzerland/NL HQ,Very High — English semiconductor ops,80,Week 3
213,Americaneagle.com Morocco,Digital Agency,Tangier,Subsidiary,Global — US HQ,Very High — English web development,80,Week 3
219,Jumia Morocco,E-commerce,Casablanca,Listed (NYSE via parent),Pan-African,Very High — English corporate & investor,80,Week 3
221,Careem Morocco,Ride-hailing / Tech,Casablanca,Subsidiary (Uber),MENA via parent,Very High — English corporate,80,Week 3
223,InDriver Morocco,Ride-hailing,Casablanca,Subsidiary (InDriver),Global — US HQ,Very High — English corporate,80,Week 3
226,Centrale Danone,Dairy / FMCG,Casablanca,Subsidiary (Danone),Global via parent,Very High — English corporate reporting,80,Week 3
227,Nestlé Morocco,Food & Beverage,El Jadida / Casablanca,Subsidiary (Nestlé),Global — Switzerland HQ,Very High — English as corporate language,80,Week 3
228,Procter & Gamble Morocco,Consumer Goods,Casablanca,Subsidiary (P&G),Global — US HQ,Very High — English corporate language,80,Week 3
229,Unilever Maghreb,Consumer Goods,Casablanca,Subsidiary (Unilever),Global — UK/NL HQ,Very High — English corporate,80,Week 3
230,L'Oréal Maroc,Beauty / Cosmetics,Casablanca,Subsidiary (L'Oréal),Global — France HQ,Very High — English corporate,80,Week 3
231,Henkel Morocco,Consumer / Industrial,Casablanca,Subsidiary (Henkel),Global — Germany HQ,Very High — English corporate language,80,Week 3
232,Colgate-Palmolive Morocco,Consumer Goods,Casablanca,Subsidiary (Colgate),Global — US HQ,Very High — English corporate,80,Week 3
233,Coca-Cola Morocco (NABC),Beverages,Casablanca,Franchise (Coca-Cola),Global via Coca-Cola system,Very High — English Coca-Cola reporting,80,Week 3
234,PepsiCo Morocco,Beverages / Snacks,Casablanca,Subsidiary (PepsiCo),Global — US HQ,Very High — English corporate,80,Week 3
235,Philip Morris Morocco,Tobacco / IQOS,Casablanca,Subsidiary (PMI),Global — US HQ,Very High — English corporate language,80,Week 3
236,JTI Morocco (Japan Tobacco),Tobacco,Casablanca,Subsidiary (JTI),Global — Japan/Switzerland HQ,Very High — English corporate,80,Week 3
240,Bel Morocco (Laughing Cow),Dairy / Cheese,Casablanca,Subsidiary (Bel Group),Global — France HQ,Very High — English corporate,80,Week 3
241,McCain Morocco,Frozen Food,Casablanca,Subsidiary (McCain),Global — Canada HQ,Very High — English corporate,80,Week 3
242,Mars Morocco,Confectionery / Pet,Casablanca,Subsidiary (Mars),Global — US HQ,Very High — English corporate,80,Week 3
243,Mondelez Morocco,Snacks,Casablanca,Subsidiary (Mondelez),Global — US HQ,Very High — English corporate,80,Week 3
245,IKEA Morocco (Modema),Home Furnishing,Casablanca,Franchise,Global — Sweden HQ,Very High — English IKEA standards,80,Week 3
247,H&M Morocco,Fashion Retail,Casablanca,Subsidiary (H&M),Global — Sweden HQ,Very High — English corporate,80,Week 3
272,Strabag Morocco,Construction,Casablanca,Subsidiary (Strabag),Global — Austria HQ,Very High — English corporate,80,Week 3
273,Vinci Construction Morocco,Construction,Casablanca,Subsidiary (Vinci),Global — France HQ,Very High — English corporate reporting,80,Week 3
274,Bouygues Morocco,Construction / Real Estate,Casablanca,Subsidiary (Bouygues),Global — France HQ,Very High — English corporate,80,Week 3
275,LafargeHolcim Morocco,Building Materials,Casablanca,Listed (Casablanca Bourse),Global via Holcim,Very High — English corporate language,80,Week 3
276,Ciments du Maroc (HeidelbergCement),Cement / Materials,Casablanca,Listed (Casablanca Bourse),Global — Germany HQ,Very High — English corporate,80,Week 3
282,Suez Morocco,Water / Waste Mgmt,Casablanca,Subsidiary (Suez),Global — France HQ,Very High — English corporate,80,Week 3
283,Veolia Morocco,Environment / Water,Casablanca,Subsidiary (Veolia),Global — France HQ,Very High — English corporate,80,Week 3
284,Eiffage Morocco,Construction / Concessions,Casablanca,Subsidiary (Eiffage),Global — France HQ,Very High — English corporate reporting,80,Week 3
291,Delassus Group,Agri Export / Produce,Souss-Massa,Established,"Export to EU, UK, US, Gulf",Very High — English trade & compliance,80,Week 3
307,Ain Saiss (Danone Waters),Bottled Water,Fès,Subsidiary (Danone),Global via parent,Very High — English corporate,80,Week 3
316,Terres & Saveurs,Organic Produce Export,Agadir,Established,"EU, US organic markets",Very High — English organic certification,80,Week 3
320,Bio Maroc,Organic Food Export,Various,Established,"US, EU organic markets",Very High — English organic compliance,80,Week 3
321,Risma (Accor Hotels Morocco),Hotel Management,Casablanca,Subsidiary (Accor partner),Accor global brands,Very High — English hotel operations,80,Week 3
325,Four Seasons Morocco,Luxury Hotels,Marrakech,Managed (Four Seasons),Global — Canada/US HQ,Very High — English luxury hospitality,80,Week 3
328,Mandarin Oriental Morocco,Luxury Hotel,Marrakech,Managed (Mandarin Oriental),Global — HK HQ,Very High — English corporate,80,Week 3
329,Fairmont Morocco,Luxury Hotel,Marrakech,Managed (Accor Luxury),Global,Very High — English operations,80,Week 3
330,Marriott Morocco (Hotels),Hotel Group,Multiple cities,Managed (Marriott),Global — US HQ,Very High — English corporate language,80,Week 3
331,Hilton Morocco,Hotel Group,Multiple cities,Managed (Hilton),Global — US HQ,Very High — English corporate,80,Week 3
332,Radisson Morocco,Hotel Group,Multiple cities,Managed (Radisson),Global expanding to 25 hotels,Very High — English corporate,80,Week 3
333,IHG Morocco (InterContinental),Hotel Group,Casablanca,Managed (IHG),Global — UK HQ,Very High — English corporate,80,Week 3
334,Hyatt Morocco,Luxury Hotel,Casablanca,Managed (Hyatt),Global — US HQ,Very High — English corporate,80,Week 3
335,Club Med Morocco,Resort Tourism,Marrakech & Agadir,Subsidiary (Club Med),Global — France HQ,Very High — English guest services,80,Week 3
338,Mövenpick Morocco,Hotels,Casablanca,Managed (Accor),Global,Very High — English corporate,80,Week 3
341,TUI Morocco Operations,Tour Operator,Multiple,Subsidiary (TUI),Global — Germany/UK HQ,Very High — English tourism ops,80,Week 3
342,Accor Morocco (Corporate),Hospitality Corporate,Casablanca,Subsidiary (Accor),Global — France HQ,Very High — English corporate,80,Week 3
348,RAM (Royal Air Maroc),Airlines,Casablanca,State carrier,100+ destinations worldwide,Very High — English aviation english,80,Week 3
349,Air Arabia Maroc,Low-cost Airlines,Casablanca,Subsidiary (Air Arabia),Global — UAE HQ,Very High — English aviation,80,Week 3
360,CMA CGM Morocco,Shipping,Tangier & Casablanca,Subsidiary (CMA CGM),Global — France HQ,Very High — English corporate,80,Week 3
365,SDV Morocco (Bolloré),Freight Forwarding,Casablanca,Subsidiary (Bolloré),"Africa, Global",Very High — English freight docs,80,Week 3
372,Swissport Morocco,Ground Handling,Casablanca,Subsidiary (Swissport),Global — Switzerland HQ,Very High — English aviation services,80,Week 3
373,Menzies Aviation Morocco,Ground Handling,Multiple,Subsidiary (Menzies),Global — UK HQ,Very High — English aviation,80,Week 3
379,Fruit of the Loom Morocco,Apparel Mfg,Tangier,Subsidiary,Global — US HQ,Very High — English corporate,80,Week 3
393,Reggetex Morocco,Technical Textiles,Tangier,Established,EU automotive textiles,High — English automotive supply,80,Week 3
395,H&M Supply Morocco,Sourcing / Production,Casablanca,Subsidiary (H&M),Global — Sweden HQ,Very High — English corporate,80,Week 3
396,Primark Sourcing Morocco,Sourcing / QC,Casablanca,Subsidiary (Primark/ABF),Global — Ireland/UK HQ,Very High — English sourcing ops,80,Week 3
399,Adidas Sourcing Morocco,Sportswear Sourcing,Casablanca,Subsidiary (Adidas),Global — Germany HQ,Very High — English corporate,80,Week 3
400,IKEA Sourcing Morocco,Home Textile Sourcing,Casablanca,Franchise/Sourcing,Global — Sweden HQ,Very High — English IKEA standards,80,Week 3
401,MTA Morocco,Auto Electronics,Kénitra (AFZ),Subsidiary (MTA),Global — Italy HQ,Very High — English engineering,80,Week 3
402,Hirschmann Automotive Morocco,Connectors / Sensors,Kénitra (AFZ),Subsidiary,Global — Austria HQ,Very High — English corporate,80,Week 3
404,Benteler Automotive Morocco,Auto Structures,Kénitra (AFZ),Subsidiary (Benteler),Global — Germany HQ,Very High — English corporate,80,Week 3
406,Marquardt Morocco,Switches / Electronics,Tangier,Subsidiary (Marquardt),Global — Germany HQ,Very High — English engineering,80,Week 3
407,Nexteer Automotive Morocco,Steering Systems,Kénitra,Subsidiary (Nexteer),Global — US/China HQ,Very High — English corporate,80,Week 3
408,BorgWarner Morocco,Powertrain / EV,Tangier,Subsidiary (BorgWarner),Global — US HQ,Very High — English corporate,80,Week 3
410,Magna Morocco,Auto Parts,Kénitra,Subsidiary (Magna),Global — Canada HQ,Very High — English corporate,80,Week 3
411,Faurecia Morocco (Forvia),Interior / Clean Mobility,Kénitra,Subsidiary (Forvia),Global — France HQ,Very High — English engineering,80,Week 3
412,Plastic Omnium Morocco,Auto Exterior / Energy,Kénitra,Subsidiary,Global — France HQ,Very High — English corporate,80,Week 4
415,Leoni Morocco,Cables / Wiring,Various,Subsidiary (Leoni),Global — Germany HQ,Very High — English corporate,80,Week 4
416,Draexlmaier Morocco,Auto Interior / Wiring,Kénitra,Subsidiary (Draexlmaier),Global — Germany HQ,Very High — English corporate,80,Week 4
417,Brose Morocco,Auto Mechatronics,Tangier,Subsidiary (Brose),Global — Germany HQ,Very High — English engineering,80,Week 4
418,ZF Morocco,Auto Driveline / Safety,Tangier,Subsidiary (ZF),Global — Germany HQ,Very High — English corporate,80,Week 4
419,AMADA Morocco,Metalworking,Casablanca,Subsidiary (AMADA),Global — Japan HQ,Very High — English technical,80,Week 4
420,Mahle Morocco,Engine Components,Tangier,Subsidiary (Mahle),Global — Germany HQ,Very High — English corporate,80,Week 4
421,Gentherm Morocco,Thermal Mgmt / Auto,Tangier,Subsidiary (Gentherm),Global — US HQ,Very High — English engineering,80,Week 4
423,Delphi Technologies Morocco,Auto Powertrain,Tangier,Subsidiary (BorgWarner),Global — US HQ,Very High — English corporate,80,Week 4
426,Sews Cabind Morocco,Wiring Harness,Tangier,Subsidiary (Sumitomo),Global — Japan HQ,Very High — English reporting,80,Week 4
427,Peugeot Citroën Automobiles Morocco,Auto Assembly Partner,Kénitra,Partnership (Stellantis),Global,Very High — English operations,80,Week 4
428,Valeo Lighting Morocco,Auto Lighting,Tangier,Subsidiary (Valeo),Global — France HQ,Very High — English engineering,80,Week 4
430,Saint-Gobain Sekurit Morocco,Auto Glass,Kénitra,Subsidiary (Saint-Gobain),Global — France HQ,Very High — English corporate,80,Week 4
433,Hutchinson Morocco,Rubber / Vibration Control,Tangier,Subsidiary (TotalEnergies),Global — France HQ,Very High — English corporate,80,Week 4
434,NTN-SNR Morocco,Bearings / Auto,Tangier,Subsidiary (NTN),Global — Japan HQ,Very High — English technical,80,Week 4
439,ESLSCA Business School Rabat,Business Education,Rabat,Subsidiary (Planeta),Global — Spain/France HQ,Very High — English programs,80,Week 4
440,EMAA Business School,Business Education,Casablanca,Established,"US, UK, Spain partners",Very High — English pathway programs,80,Week 4
441,UM6P (Mohammed VI Polytechnic),University / Research,Benguerir,Established (OCP Foundation),Global research partnerships,Very High — English research & teaching,80,Week 4
442,Al Akhawayn University,University,Ifrane,Established,"US-style education, English medium",Very High — English-only instruction,80,Week 4
446,Toulouse Business School Casablanca,Business Education,Casablanca,Subsidiary (TBS),Global — France HQ,Very High — English medium programs,80,Week 4
451,British International School,K-12 Education,Multiple,Established,UK curriculum,Very High — English primary medium,80,Week 4
452,American School Casablanca,K-12 Education,Casablanca,Established,US curriculum,Very High — English primary medium,80,Week 4
453,George Washington Academy,K-12 Education,Casablanca,Established,US curriculum,Very High — English primary medium,80,Week 4
454,Smartprof,EdTech,Casablanca,Seed,"Morocco, Africa",High — English platform,80,Week 4
455,GoMyCode Morocco,EdTech / Coding Bootcamp,Casablanca,Subsidiary,"Africa, Middle East",High — English tech curriculum,80,Week 4
456,1337 / 42 Network School,Coding School,Khouribga & Benguerir,Established (OCP/UM6P),42 Network — global,Very High — English coding education,80,Week 4
460,Tekne Formation,Technical Training,Casablanca,Established,"Europe, Africa",High — English technical training,80,Week 4
463,Jotun Maroc,Paints / Coatings,Casablanca,Subsidiary (Jotun),Global — Norway HQ,Very High — English corporate,80,Week 4
464,Akzo Nobel Morocco,Paints / Chemicals,Casablanca,Subsidiary (Akzo Nobel),Global — Netherlands HQ,Very High — English corporate,80,Week 4
465,PPG Morocco,Coatings / Specialty,Casablanca,Subsidiary (PPG),Global — US HQ,Very High — English corporate,80,Week 4
466,Hempel Morocco,Coatings,Casablanca,Subsidiary (Hempel),Global — Denmark HQ,Very High — English corporate,80,Week 4
467,BASF Morocco,Chemicals,Casablanca,Subsidiary (BASF),Global — Germany HQ,Very High — English corporate language,80,Week 4
468,Air Liquide Morocco,Industrial Gases,Casablanca,Subsidiary (Air Liquide),Global — France HQ,Very High — English corporate,80,Week 4
469,Linde Morocco,Industrial Gases,Casablanca,Subsidiary (Linde),Global — UK/Germany HQ,Very High — English corporate,80,Week 4
472,MagPhos (OCP subsidiary),Specialty Phosphates,Jorf Lasfar,Subsidiary (OCP),Global via parent,Very High — English technical,80,Week 4
473,Prayon Morocco,Phosphoric Acid,Jorf Lasfar,Subsidiary (Prayon),Global — Belgium HQ,Very High — English corporate,80,Week 4
480,Nexans Morocco,Cables / Electrical,Casablanca,Subsidiary (Nexans),Global — France HQ,Very High — English corporate,80,Week 4
481,Legrand Morocco,Electrical Infrastructure,Casablanca,Subsidiary (Legrand),Global — France HQ,Very High — English corporate,80,Week 4
482,ABB Morocco,Automation / Power,Casablanca,Subsidiary (ABB),Global — Switzerland HQ,Very High — English corporate,80,Week 4
483,Siemens Morocco,Industrial Automation,Casablanca,Subsidiary (Siemens),Global — Germany HQ,Very High — English corporate,80,Week 4
484,Mitsubishi Electric Morocco,Automation / HVAC,Casablanca,Subsidiary (Mitsubishi),Global — Japan HQ,Very High — English corporate,80,Week 4
485,Emerson Morocco,Automation,Casablanca,Subsidiary (Emerson),Global — US HQ,Very High — English corporate,80,Week 4
486,Honeywell Morocco,Automation / Safety,Casablanca,Subsidiary (Honeywell),Global — US HQ,Very High — English corporate,80,Week 4
487,Danfoss Morocco,Climate / Drives,Casablanca,Subsidiary (Danfoss),Global — Denmark HQ,Very High — English corporate,80,Week 4
488,Weidmüller Morocco,Industrial Connectivity,Casablanca,Subsidiary (Weidmüller),Global — Germany HQ,Very High — English technical,80,Week 4
489,Eaton Morocco,Power Management,Casablanca,Subsidiary (Eaton),Global — Ireland/US HQ,Very High — English corporate,80,Week 4
490,Parker Hannifin Morocco,Motion / Control,Casablanca,Subsidiary (Parker),Global — US HQ,Very High — English corporate,80,Week 4
491,SKF Morocco,Bearings / Seals,Casablanca,Subsidiary (SKF),Global — Sweden HQ,Very High — English corporate,80,Week 4
492,Atlas Copco Morocco,Compressors / Industrial,Casablanca,Subsidiary (Atlas Copco),Global — Sweden HQ,Very High — English corporate,80,Week 4
493,Danaher Morocco,Life Sciences / Diagnostics,Casablanca,Subsidiary (Danaher),Global — US HQ,Very High — English corporate,80,Week 4
494,3M Morocco,Diversified Industrial,Casablanca,Subsidiary (3M),Global — US HQ,Very High — English corporate,80,Week 4
495,Pall Morocco (Danaher),Filtration,Casablanca,Subsidiary (Danaher),Global — US HQ,Very High — English corporate,80,Week 4
507,CDG Invest,Private Equity / VC,Rabat,Subsidiary (CDG),"Morocco, Africa",High — English investor relations,80,Week 4
516,Endeavor Morocco,Entrepreneurship Network,Casablanca,Subsidiary (Endeavor),Global,Very High — English mentorship,80,Week 4
527,Cleansolution,CleanTech,Casablanca,Seed,"Morocco, Africa",High — English investor relations,80,Week 4
530,Afrimobility,MobilityTech,Casablanca,Pre-Seed,"Morocco, Africa",High — English pitch & product,80,Week 4
534,Epione Morocco,HealthTech,Casablanca,Seed,"Morocco, Africa",High — English health tech,80,Week 4
542,Sturio,Recruitment / HR Tech,Casablanca,Seed,"Morocco, Europe",High — English HR product,80,Week 4
547,Morocco AI (UM6P),AI Research / Ecosystem,Benguerir,Institutional,International AI community,Very High — English research,80,Week 4
550,British Chamber of Commerce Morocco,Business Chamber,Casablanca,Association,UK-Morocco trade,Very High — English trade events,80,Week 4
551,AmCham Morocco,Business Chamber,Casablanca,Association,US-Morocco trade,Very High — English advocacy,80,Week 4
558,Draper University Morocco,Entrepreneurship Ed,Casablanca,Partnership,US partnership,Very High — English programs,80,Week 4
562,Bull Morocco (Atos),IT Infrastructure,Casablanca,Subsidiary (Atos),Global — France HQ,Very High — English corporate,80,Week 4
564,Logiciel.ma,Software Dev,Casablanca,Established,"Morocco, EU clients",High — English delivery,80,Week 4
577,Offensive Security Morocco,Cybersecurity Training,Casablanca,Established,International certifications,Very High — English security,80,Week 4
578,Wavestone Morocco,IT Consulting,Casablanca,Subsidiary (Wavestone),Global — France HQ,Very High — English consulting,80,Week 4
579,Alten Morocco,IT Engineering Consulting,Casablanca,Subsidiary (Alten),Global — France HQ,Very High — English engineering,80,Week 4
580,Altran Morocco (Capgemini Eng),Engineering Consulting,Casablanca,Subsidiary (Capgemini),Global — France HQ,Very High — English engineering,80,Week 4
581,Expleo Morocco,Engineering / Quality,Casablanca,Subsidiary (Expleo),Global — France HQ,Very High — English quality,80,Week 4
582,Assystem Morocco,Nuclear / Eng Consulting,Rabat,Subsidiary (Assystem),Global — France HQ,Very High — English engineering,80,Week 4
583,Berexia,IT Services / Cloud,Casablanca,Established,"Morocco, Africa",High — English cloud consulting,80,Week 4
587,Atos Technology Solutions Morocco,IT Transformation,Casablanca,Subsidiary (Atos),Global,Very High — English delivery,80,Week 4
595,GlobalLogic Morocco,Digital Engineering,Casablanca,Subsidiary (Hitachi),Global — US/Japan HQ,Very High — English corporate,80,Week 4
596,Globant Morocco,Digital / AI,Casablanca,Subsidiary (Globant),Global — Argentina/US HQ,Very High — English corporate,80,Week 4
601,BNP Paribas GBS Morocco,Shared Services / Finance,Casablanca,Subsidiary (BNP Paribas),Global — France HQ,Very High — English financial reporting,80,Week 4
602,AXA Services Morocco,Shared Services / Insurance,Casablanca,Subsidiary (AXA),Global — France HQ,Very High — English insurance ops,80,Week 4
603,Société Générale IT Center Morocco,IT Shared Services,Casablanca,Subsidiary (SocGen),Global — France HQ,Very High — English IT operations,80,Week 4
604,Allianz Technology Morocco,IT / Operations Hub,Casablanca,Subsidiary (Allianz),Global — Germany HQ,Very High — English as corporate language,80,Week 4
605,Dell Global Services Morocco,IT Support / Services,Casablanca,Subsidiary (Dell),Global — US HQ,Very High — English support ops,80,Week 4
612,Wipro BPS Morocco,Business Process Services,Casablanca,Subsidiary (Wipro),Global — India HQ,Very High — English corporate,80,Week 4
631,Synnex (TD SYNNEX) Morocco,IT Distribution / Services,Casablanca,Subsidiary (TD SYNNEX),Global — US HQ,Very High — English corporate,80,Week 4
632,Arrow Electronics Morocco,IT Distribution,Casablanca,Subsidiary (Arrow),Global — US HQ,Very High — English corporate,80,Week 4
633,Ingram Micro Morocco,IT Distribution,Casablanca,Subsidiary (Ingram Micro),Global — US HQ,Very High — English corporate,80,Week 4
641,Medtronic Morocco,Medical Devices,Casablanca,Subsidiary (Medtronic),Global — US/Ireland HQ,Very High — English corporate,80,Week 4
642,Stryker Morocco,Medical Devices,Casablanca,Subsidiary (Stryker),Global — US HQ,Very High — English corporate,80,Week 4
643,Siemens Healthineers Morocco,Medical Imaging,Casablanca,Subsidiary (Siemens),Global — Germany HQ,Very High — English corporate,80,Week 4
644,GE HealthCare Morocco,Medical Imaging,Casablanca,Subsidiary (GE HealthCare),Global — US HQ,Very High — English corporate,80,Week 4
645,Philips Healthcare Morocco,Medical Equipment,Casablanca,Subsidiary (Philips),Global — Netherlands HQ,Very High — English corporate,80,Week 4
647,Beckman Coulter Morocco,Diagnostics,Casablanca,Subsidiary (Danaher),Global — US HQ,Very High — English corporate,80,Week 4
648,bioMérieux Morocco,Diagnostics,Casablanca,Subsidiary (bioMérieux),Global — France HQ,Very High — English scientific,80,Week 4
649,Carl Zeiss Morocco,Optics / Medical,Casablanca,Subsidiary (Zeiss),Global — Germany HQ,Very High — English corporate,80,Week 4
650,Baxter Morocco,Medical Products,Casablanca,Subsidiary (Baxter),Global — US HQ,Very High — English corporate,80,Week 4
651,B. Braun Morocco,Medical Devices,Casablanca,Subsidiary (B. Braun),Global — Germany HQ,Very High — English corporate,80,Week 4
652,Boston Scientific Morocco,Medical Devices,Casablanca,Subsidiary (Boston Scientific),Global — US HQ,Very High — English corporate,80,Week 4
653,Edwards Lifesciences Morocco,Medical Devices,Casablanca,Subsidiary (Edwards),Global — US HQ,Very High — English corporate,80,Week 4
654,Coloplast Morocco,Medical Devices,Casablanca,Subsidiary (Coloplast),Global — Denmark HQ,Very High — English corporate,80,Week 4
655,Smith & Nephew Morocco,Medical Devices,Casablanca,Subsidiary (S&N),Global — UK HQ,Very High — English corporate,80,Week 4
661,CMCP-International Paper,Packaging / Paper,Kénitra,Subsidiary (International Paper),Global — US HQ,Very High — English corporate,80,Week 4
662,Amcor Morocco,Flexible Packaging,Casablanca,Subsidiary (Amcor),Global — Australia/Switzerland HQ,Very High — English corporate,80,Week 4
663,Mondi Pap Sac Maghreb,Industrial Packaging,Casablanca,Subsidiary (Mondi),Global — UK/Austria HQ,Very High — English corporate,80,Week 4
664,ALPLA Morocco,Plastic Packaging,Tangier,Subsidiary (ALPLA),Global — Austria HQ,Very High — English corporate,80,Week 5
665,Tetra Pak Morocco,Food Packaging,Casablanca,Subsidiary (Tetra Pak),Global — Sweden HQ,Very High — English corporate,80,Week 5
666,Sealed Air Morocco,Protective Packaging,Casablanca,Subsidiary (Sealed Air),Global — US HQ,Very High — English corporate,80,Week 5
671,Maghreb Can,Metal Packaging,Casablanca,Subsidiary (Crown Holdings),Global — US HQ,Very High — English corporate,80,Week 5
680,Stora Enso Morocco,Renewable Packaging,Casablanca,Subsidiary (Stora Enso),Global — Finland HQ,Very High — English corporate,80,Week 5
681,DS Smith Morocco,Corrugated Packaging,Casablanca,Subsidiary (DS Smith),Global — UK HQ,Very High — English corporate,80,Week 5
682,Smurfit Kappa Morocco,Paper Packaging,Casablanca,Subsidiary (Smurfit Kappa),Global — Ireland HQ,Very High — English corporate,80,Week 5
683,Ball Corporation Morocco,Metal Packaging,Casablanca,Subsidiary (Ball),Global — US HQ,Very High — English corporate,80,Week 5
684,Pactiv Evergreen Morocco,Food Packaging,Casablanca,Subsidiary,Global — US HQ,Very High — English corporate,80,Week 5
685,SIG Combibloc Morocco,Aseptic Packaging,Casablanca,Subsidiary (SIG),Global — Switzerland HQ,Very High — English corporate,80,Week 5
692,Matis Aerospace,Aerostructures,Casablanca,JV (Hexcel/Safran),Global via parents,Very High — English aerospace,80,Week 5
695,TAV Aviation Morocco,Airport Operations,Multiple,Subsidiary (TAV),Global — Turkey HQ,Very High — English aviation,80,Week 5
696,Thales Alenia Space Morocco,Space / Satellite,Rabat,Subsidiary (Thales),Global — France HQ,Very High — English space ops,80,Week 5
697,Latécoère Morocco,Aerostructures,Casablanca,Subsidiary (Latécoère),Global — France HQ,Very High — English engineering,80,Week 5
698,Mersen Morocco,Electrical Components,Casablanca,Subsidiary (Mersen),Global — France HQ,Very High — English corporate,80,Week 5
699,G4S Morocco,Security Services,Casablanca,Subsidiary (Allied Universal),Global — US HQ,Very High — English corporate,80,Week 5
700,Securitas Morocco,Security / Safety,Casablanca,Subsidiary (Securitas),Global — Sweden HQ,Very High — English corporate,80,Week 5
703,Tyco Morocco,Fire / Security,Casablanca,Subsidiary (Johnson Controls),Global — US HQ,Very High — English corporate,80,Week 5
704,Bosch Security Morocco,Security Systems,Casablanca,Subsidiary (Bosch),Global — Germany HQ,Very High — English corporate,80,Week 5
705,Axis Communications Morocco,Video Surveillance,Casablanca,Subsidiary (Axis/Canon),Global — Sweden HQ,Very High — English corporate,80,Week 5
707,IDEMIA Morocco,Identity / Biometrics,Rabat,Subsidiary (IDEMIA),Global — France HQ,Very High — English digital identity,80,Week 5
708,Gemalto/Thales DIS Morocco,Digital Security,Casablanca,Subsidiary (Thales),Global — France HQ,Very High — English corporate,80,Week 5
709,Airbus Defence Morocco,Defense Systems,Rabat,Subsidiary (Airbus),Global — EU HQ,Very High — English defense,80,Week 5
710,BAE Systems Morocco,Defense / Cyber,Rabat,Subsidiary (BAE Systems),Global — UK HQ,Very High — English corporate,80,Week 5
711,CBRE Morocco,Real Estate Services,Casablanca,Subsidiary (CBRE),Global — US HQ,Very High — English corporate,80,Week 5
712,JLL Morocco,Real Estate Services,Casablanca,Subsidiary (JLL),Global — US HQ,Very High — English corporate,80,Week 5
713,Cushman & Wakefield Morocco,Real Estate Services,Casablanca,Subsidiary,Global — US HQ,Very High — English corporate,80,Week 5
714,Savills Morocco,Real Estate Advisory,Casablanca,Subsidiary (Savills),Global — UK HQ,Very High — English corporate,80,Week 5
715,Colliers Morocco,Real Estate Services,Casablanca,Subsidiary (Colliers),Global — Canada HQ,Very High — English corporate,80,Week 5
716,Sodexo Morocco,Facility Services / Catering,Casablanca,Subsidiary (Sodexo),Global — France HQ,Very High — English corporate,80,Week 5
717,Compass Group Morocco,Catering / FM,Casablanca,Subsidiary (Compass),Global — UK HQ,Very High — English corporate,80,Week 5
718,ISS Morocco,Facility Services,Casablanca,Subsidiary (ISS),Global — Denmark HQ,Very High — English corporate,80,Week 5
719,Engie Services Morocco,FM / Energy Services,Casablanca,Subsidiary (Engie),Global — France HQ,Very High — English corporate,80,Week 5
721,OCS Morocco,FM Services,Casablanca,Subsidiary (OCS),Global — UK HQ,Very High — English corporate,80,Week 5
722,Randstad Morocco,HR / Temp Staffing,Casablanca,Subsidiary (Randstad),Global — Netherlands HQ,Very High — English corporate,80,Week 5
723,Adecco Morocco,Staffing / HR,Casablanca,Subsidiary (Adecco),Global — Switzerland HQ,Very High — English corporate,80,Week 5
724,Robert Half Morocco,Recruitment,Casablanca,Subsidiary (Robert Half),Global — US HQ,Very High — English executive recruitment,80,Week 5
725,Korn Ferry Morocco,Executive Search,Casablanca,Subsidiary (Korn Ferry),Global — US HQ,Very High — English corporate,80,Week 5
726,Spencer Stuart Morocco,Executive Search,Casablanca,Subsidiary,Global — US HQ,Very High — English corporate,80,Week 5
