ID,Name,Sector,City,Funding Stage,International Presence,English Requirement
249,Marjane Group,Retail / Hypermarket,Casablanca,Established (Al Mada),Morocco,Medium-High — English vendor mgmt
250,Virgin Megastore Morocco,Retail / Entertainment,Casablanca,Franchise,Global brand,High — English brand management
251,Kitea,Furniture Retail,Casablanca,Established,"Morocco, Africa expansion",Medium-High — English sourcing
252,Electroplanet (LabelVie),Electronics Retail,Casablanca,Subsidiary (LabelVie),Morocco,Medium-High — English vendor relations
253,Richbond,Furniture / Mattress Mfg,Casablanca,Established,"Export to Africa, EU",High — English export operations
254,Best Biscuits Maroc (Excelo),Food / Confectionery,Casablanca,Established,"Africa, Middle East export",High — English export & compliance
255,Unimer Group,Seafood / Canned Food,Agadir / Casablanca,Listed (Casablanca Bourse),Export globally,High — English export documentation
256,Diana Holding,Food / Industrial,Casablanca,Listed (Casablanca Bourse),"Export Africa, EU",High — English business development
257,Mutandis,Consumer Goods Holding,Casablanca,Listed (Casablanca Bourse),"Export to US, EU, Africa",High — English investor relations
258,Dislog Group,Distribution / FMCG,Casablanca,Established (Growth),"Morocco, Africa",High — English brand partnerships
259,Sopriam (Stellantis Dist.),Auto Distribution,Casablanca,Subsidiary (Stellantis),Global via parent,High — English corporate reporting
260,Auto Hall,Auto Distribution,Casablanca,Listed (Casablanca Bourse),International brand partnerships,High — English OEM management
261,Groupe Addoha,Real Estate Dev,Casablanca,Listed (Casablanca Bourse),"West Africa (Ivory Coast, Senegal, Guinea)",High — English investor relations
262,Alliances Group,Real Estate Dev,Casablanca,Listed (Casablanca Bourse),"Africa (Ivory Coast, Cameroon)",High — English investor/partner comms
263,CGI (Compagnie Générale Immobilière),Real Estate Dev,Rabat,Established (CDG),Morocco,High — English institutional partnerships
264,Palmeraie Développement,Real Estate / Hotels,Marrakech,Established,"Morocco, Africa",High — English hotel partnerships
265,TGCC,Construction / Civil Eng,Casablanca,Listed (Casablanca Bourse),"Senegal, Mauritania, Africa",High — English contract negotiations
266,Somagec,Infrastructure / Construction,Casablanca,Established,"Morocco, Africa",High — English project management
267,Aksal Group,Real Estate / Commercial,Casablanca,Established,Morocco (Morocco Mall),High — English international retail brands
268,Yomed Group,Construction / Engineering,Casablanca,Established,"Morocco, Africa",High — English project docs
269,Jet Contractors,Construction / Engineering,Casablanca,Listed (Casablanca Bourse),"Morocco, Africa",High — English international standards
270,Ynna Holding (Chaabi Group),Conglomerate / Construction,Casablanca,Established,"Africa, Europe",High — English corporate affairs
271,SGTM (Société Générale des Travaux du Maroc),Infrastructure,Casablanca,Established,"Morocco, Africa",High — English project management
272,Strabag Morocco,Construction,Casablanca,Subsidiary (Strabag),Global — Austria HQ,Very High — English corporate
273,Vinci Construction Morocco,Construction,Casablanca,Subsidiary (Vinci),Global — France HQ,Very High — English corporate reporting
274,Bouygues Morocco,Construction / Real Estate,Casablanca,Subsidiary (Bouygues),Global — France HQ,Very High — English corporate
275,LafargeHolcim Morocco,Building Materials,Casablanca,Listed (Casablanca Bourse),Global via Holcim,Very High — English corporate language
276,Ciments du Maroc (HeidelbergCement),Cement / Materials,Casablanca,Listed (Casablanca Bourse),Global — Germany HQ,Very High — English corporate
277,Sonasid,Steel / Materials,Casablanca,Listed (Casablanca Bourse),Morocco,High — English industrial partnerships
278,Aluminium du Maroc,Aluminum / Industrial,Casablanca,Listed (Casablanca Bourse),"Export to EU, Africa",High — English export operations
279,Afriquia Gaz,Gas / Energy,Casablanca,Listed (Casablanca Bourse),West Africa subsidiaries,High — English African operations
280,Managem Group,Mining / Metals,Casablanca,Listed (Casablanca Bourse),"Africa (Congo, Gabon, Sudan, Ethiopia)",Very High — English mining operations
281,Lydec (Veolia Morocco),Water / Utilities,Casablanca,Subsidiary (Veolia),Global via parent,High — English corporate reporting
282,Suez Morocco,Water / Waste Mgmt,Casablanca,Subsidiary (Suez),Global — France HQ,Very High — English corporate
283,Veolia Morocco,Environment / Water,Casablanca,Subsidiary (Veolia),Global — France HQ,Very High — English corporate
284,Eiffage Morocco,Construction / Concessions,Casablanca,Subsidiary (Eiffage),Global — France HQ,Very High — English corporate reporting
285,Tanger Med Zones (TMSA),Industrial Zones / Logistics,Tangier,State enterprise,International zone — 1000+ companies,Very High — English zone management
286,ADM (Autoroutes du Maroc),Infrastructure / Highways,Rabat,State enterprise,"Morocco, int'l financing",High — English project financing
287,Novec (Engineering),Engineering Consulting,Rabat,Subsidiary (CDG),"Morocco, Africa",High — English engineering docs
288,Chaimaa Holding,Real Estate Dev,Marrakech,Established,Morocco,Medium-High — English investor comms
289,Imkan Maroc,Real Estate Dev,Rabat,Subsidiary (Abu Dhabi Capital Group),UAE parent,Very High — English corporate
290,Al Omrane,Real Estate / Social Housing,Rabat,State enterprise,Morocco,Medium-High — English institutional
291,Delassus Group,Agri Export / Produce,Souss-Massa,Established,"Export to EU, UK, US, Gulf",Very High — English trade & compliance
292,Groupe Kabbage,Agri Export / Produce,Agadir,Established,"Export to EU, UK",High — English trade negotiations
293,Univela Morocco,Citrus Export,Souss-Massa,Established,"EU, UK",High — English export operations
294,BL Agri,Farm-to-Export,Agadir,Established,"EU, Middle East",High — English customer management
295,Les Domaines Agricoles,Agriculture / Export,Meknès,Established (Royal),Export globally,High — English export & partnerships
296,Zalar Group,Poultry / Agri,Agadir,Established,"Morocco, Africa export",High — English international business
297,Groupe Sopralim,Food Processing,Casablanca,Established,Africa export,High — English business development
298,CapersMed,Capers / Vegetable Export,Morocco,Established,"EU, US export",High — English quality compliance
299,SMBL Food (Soho Planet Popcorn),Snack Food Export,Casablanca,Established,"EU, Africa, Middle East",High — English export operations
300,Citruma,Citrus / Agri Export,Berkane,Established,EU export,High — English trade docs
301,Atlas Bottling (Coca-Cola),Beverages,Tangier,Franchise (Coca-Cola),Global Coca-Cola system,High — English Coca-Cola ops
302,Brasseries du Maroc (Castel),Beverages / Beer,Casablanca,Subsidiary (Castel),Global — France HQ,High — English corporate
303,EACCE (Établissement Autonome de Contrôle),Food Safety / Certification,Casablanca,State agency,International compliance,Very High — English food safety standards
304,MAPM (Min. Agriculture) Agencies,Agriculture Policy,Rabat,State,International cooperation,High — English policy & partnerships
305,Sowit,AgriTech / AI,Rabat,Series A,"Africa, Middle East",Very High — English product & sales
306,AgroTech Souss-Massa,Agri Innovation Hub,Agadir,State-linked,International R&D partners,High — English research collaboration
307,Ain Saiss (Danone Waters),Bottled Water,Fès,Subsidiary (Danone),Global via parent,Very High — English corporate
308,Sidi Ali (Les Eaux Minérales d'Oulmès),Beverages / Water,Casablanca,Listed (Casablanca Bourse),"Export to Africa, EU",High — English export operations
309,Oleomed,Olive Oil Export,Meknès,Established,"EU, US export",High — English trade compliance
310,Marostika,Frozen Fruits Export,Souss-Massa,Established,EU export,High — English quality mgmt
311,Comptoir Agricole du Souss,Agri Trade,Agadir,Established,Export globally,High — English trade operations
312,Royal Air Maroc Catering,Airline Catering,Casablanca,Subsidiary (RAM),International flights,High — English food safety
313,Maroc Citrus (MORCIT),Citrus Export,Morocco,Cooperative/Est.,EU export,High — English trade compliance
314,Comaprim,Frozen Vegetables / Export,Agadir,Established,"EU, UK export",High — English customer mgmt
315,SMAEX (Morocco Export Insurance),Export Insurance,Casablanca,State-linked,International export coverage,High — English insurance docs
316,Terres & Saveurs,Organic Produce Export,Agadir,Established,"EU, US organic markets",Very High — English organic certification
317,Val'Oranger,Orange/Juice Export,Souss-Massa,Established,EU export,High — English trade
318,Maroc Olive,Olive Products Export,Meknès,Established,"EU, US",High — English quality standards
319,Tomatit,Tomato Processing / Export,Souss-Massa,Established,EU export,High — English trade docs
320,Bio Maroc,Organic Food Export,Various,Established,"US, EU organic markets",Very High — English organic compliance
321,Risma (Accor Hotels Morocco),Hotel Management,Casablanca,Subsidiary (Accor partner),Accor global brands,Very High — English hotel operations
322,Atlas Hospitality,Hotel Group,Marrakech,Established,Morocco — 4/5-star portfolio,High — English guest services
323,Kenzi Hotels Group,Hotel Chain,Casablanca,Established,Morocco — 4/5-star hotels,High — English international guests
324,ONOMO Hotels Morocco,Hotel Chain,Casablanca & Rabat,Subsidiary,Pan-African hotel brand,High — English brand standards
325,Four Seasons Morocco,Luxury Hotels,Marrakech,Managed (Four Seasons),Global — Canada/US HQ,Very High — English luxury hospitality
326,Royal Mansour,Luxury Hotel,Marrakech,Established (Royal),Ultra-luxury international clientele,Very High — English guest relations
327,La Mamounia,Luxury Hotel,Marrakech,Established,Iconic international hotel,Very High — English VIP services
328,Mandarin Oriental Morocco,Luxury Hotel,Marrakech,Managed (Mandarin Oriental),Global — HK HQ,Very High — English corporate
329,Fairmont Morocco,Luxury Hotel,Marrakech,Managed (Accor Luxury),Global,Very High — English operations
330,Marriott Morocco (Hotels),Hotel Group,Multiple cities,Managed (Marriott),Global — US HQ,Very High — English corporate language
331,Hilton Morocco,Hotel Group,Multiple cities,Managed (Hilton),Global — US HQ,Very High — English corporate
332,Radisson Morocco,Hotel Group,Multiple cities,Managed (Radisson),Global expanding to 25 hotels,Very High — English corporate
333,IHG Morocco (InterContinental),Hotel Group,Casablanca,Managed (IHG),Global — UK HQ,Very High — English corporate
334,Hyatt Morocco,Luxury Hotel,Casablanca,Managed (Hyatt),Global — US HQ,Very High — English corporate
335,Club Med Morocco,Resort Tourism,Marrakech & Agadir,Subsidiary (Club Med),Global — France HQ,Very High — English guest services
336,RIU Hotels Morocco,Resort Hotels,Agadir,Subsidiary (RIU),Global — Spain HQ,High — English operations
337,Barceló Morocco,Hotels,Multiple,Subsidiary (Barceló),Global — Spain HQ,High — English operations
338,Mövenpick Morocco,Hotels,Casablanca,Managed (Accor),Global,Very High — English corporate
339,Octogone Hospitality Management,Hotel Development,Marrakech,Established,"Morocco, Africa",High — English hotel management
340,LEVA Hotels Morocco,Lifestyle Hotels,Casablanca,Subsidiary (LEVA),MENA expansion,Very High — English brand standards
341,TUI Morocco Operations,Tour Operator,Multiple,Subsidiary (TUI),Global — Germany/UK HQ,Very High — English tourism ops
342,Accor Morocco (Corporate),Hospitality Corporate,Casablanca,Subsidiary (Accor),Global — France HQ,Very High — English corporate
343,Palais Namaskar,Luxury Resort,Marrakech,Established,International luxury market,Very High — English VIP services
344,Mazagan Beach Resort,Integrated Resort,El Jadida,Established,International tourism,Very High — English resort ops
345,Samanah Country Club,Golf / Resort,Marrakech,Established,International golf tourism,High — English member services
346,Royal Golf Dar Es Salam,Golf / Sports,Rabat,Established,International sports tourism,High — English events management
347,Groupe Akwa (Hotels Division),Hotels / Energy,Casablanca,Established (Akwa Group),"Morocco, Africa",High — English corporate
348,RAM (Royal Air Maroc),Airlines,Casablanca,State carrier,100+ destinations worldwide,Very High — English aviation english
349,Air Arabia Maroc,Low-cost Airlines,Casablanca,Subsidiary (Air Arabia),Global — UAE HQ,Very High — English aviation
350,Transavia Morocco,Low-cost Airlines,Casablanca,Subsidiary (Air France-KLM),EU — Netherlands HQ,Very High — English aviation
351,Tanger Med Port Authority,Port / Logistics Hub,Tangier,State enterprise,#1 Mediterranean port — global shipping,Very High — English port operations
352,ONCF (National Railway),Rail Transport,Rabat,State enterprise,"Morocco, int'l partnerships (Alstom)",High — English project cooperation
353,CTM,Coach / Logistics,Casablanca,Listed (Casablanca Bourse),Morocco,Medium-High — English logistics
354,SDTM (Supratour),Transport / Logistics,Casablanca,Subsidiary (ONCF),Morocco,Medium-High — English tourism transport
355,DHL Morocco,Express / Logistics,Casablanca,Subsidiary (DHL),Global — Germany HQ,Very High — English corporate
356,FedEx Morocco,Express / Logistics,Casablanca,Subsidiary (FedEx),Global — US HQ,Very High — English corporate
357,UPS Morocco,Express / Logistics,Casablanca,Subsidiary (UPS),Global — US HQ,Very High — English corporate
358,Maersk Morocco,Shipping / Logistics,Tangier & Casablanca,Subsidiary (Maersk),Global — Denmark HQ,Very High — English shipping ops
359,MSC Morocco,Shipping / Logistics,Tangier,Subsidiary (MSC),Global — Switzerland HQ,Very High — English shipping
360,CMA CGM Morocco,Shipping,Tangier & Casablanca,Subsidiary (CMA CGM),Global — France HQ,Very High — English corporate
361,Bolloré Logistics Morocco,Logistics / Freight,Casablanca,Subsidiary (Bolloré),Global — France HQ,Very High — English logistics ops
362,DB Schenker Morocco,Logistics,Casablanca,Subsidiary (DB Schenker),Global — Germany HQ,Very High — English corporate
363,Kuehne+Nagel Morocco,Freight / Logistics,Casablanca,Subsidiary (K+N),Global — Switzerland HQ,Very High — English corporate
364,Dachser Morocco,Logistics,Tangier,Subsidiary (Dachser),Global — Germany HQ,Very High — English corporate
365,SDV Morocco (Bolloré),Freight Forwarding,Casablanca,Subsidiary (Bolloré),"Africa, Global",Very High — English freight docs
366,Loadline Logistics,Freight / Forwarding,Casablanca,Established,International,High — English freight management
367,Sea Optima,Maritime Logistics,Casablanca,Established,International shipping,High — English maritime ops
368,Freterium,Logistics SaaS,Casablanca,Seed/Series A,"Africa, Europe",Very High — English SaaS product
369,Portnet SA,Port IT Platform,Casablanca,State enterprise,Morocco ports,High — English port tech
370,Marsa Maroc,Port Operations,Casablanca,Listed (Casablanca Bourse),Multiple Moroccan ports + Africa,High — English port operations
371,ONDA (National Airports Office),Airport Management,Casablanca,State enterprise,"26 airports, int'l partnerships",Very High — English aviation ops
372,Swissport Morocco,Ground Handling,Casablanca,Subsidiary (Swissport),Global — Switzerland HQ,Very High — English aviation services
373,Menzies Aviation Morocco,Ground Handling,Multiple,Subsidiary (Menzies),Global — UK HQ,Very High — English aviation
374,Geodis Morocco,Freight/Logistics,Casablanca,Subsidiary (Geodis/SNCF),Global — France HQ,Very High — English corporate
375,XPO Logistics Morocco,Logistics,Casablanca,Subsidiary (XPO),Global — US HQ,Very High — English corporate
376,Vita Couture,Textile / Fashion Mfg,Tangier,Established,"EU export (Inditex, Zara supply)",High — English customer management
377,Fashion Lixus,Garment Mfg,Tangier,Established,EU export,High — English production mgmt
378,AMITH (Textile Association),Industry Body,Casablanca,Association,International trade fairs,Very High — English industry advocacy
379,Fruit of the Loom Morocco,Apparel Mfg,Tangier,Subsidiary,Global — US HQ,Very High — English corporate
380,Benetton Morocco (Manufacturing),Apparel Mfg,Tangier,Contract manufacturing,Global — Italy HQ,High — English quality management
381,Tavex Morocco (Denim),Denim Mfg,Tangier,Subsidiary,Global — Spain HQ,High — English production ops
382,Groupe 5 Étoiles Textile,Garment Mfg,Casablanca,Established,EU export,High — English client management
383,Settavex,Textile / Knitwear,Casablanca,Established,"EU, UK export",High — English trade compliance
384,Maroc Modis,Apparel / Lingerie,Tangier,Subsidiary,EU brands,High — English quality standards
385,Sinmatex,Garment Mfg,Casablanca,Established,EU export,High — English client communications
386,Bonneterie du Maroc,Knitwear Mfg,Casablanca,Established,EU export,High — English order management
387,Alliance Textile,Fabric / Garment,Tangier,Established,EU export,High — English supply chain
388,Moroccan Denim (Textil Med),Denim Production,Casablanca,Established,"EU, US brands",High — English product compliance
389,Super Textile Group,Garment Mfg,Casablanca,Established,EU export,High — English operations
390,Lahlou Industries,Textile / Workwear,Casablanca,Established,"EU, Africa export",High — English B2B sales
391,CAFTAN Furniture Textiles,Home Textile,Casablanca,Established,"EU, US export",High — English trade
392,Manatex,Garment / Jersey,Tangier,Established,EU export,High — English quality
393,Reggetex Morocco,Technical Textiles,Tangier,Established,EU automotive textiles,High — English automotive supply
394,Nextil Morocco,Fashion Mfg / Luxury,Tangier,Subsidiary (Nextil),Global — Spain HQ,High — English luxury brand compliance
395,H&M Supply Morocco,Sourcing / Production,Casablanca,Subsidiary (H&M),Global — Sweden HQ,Very High — English corporate
396,Primark Sourcing Morocco,Sourcing / QC,Casablanca,Subsidiary (Primark/ABF),Global — Ireland/UK HQ,Very High — English sourcing ops
397,Mango Morocco (Manufacturing),Fashion Mfg,Tangier,Contract manufacturing,Global — Spain HQ,High — English quality mgmt
398,Decathlon Production Morocco,Sporting Goods Mfg,Casablanca,Subsidiary (Decathlon),Global — France HQ,High — English product mgmt
399,Adidas Sourcing Morocco,Sportswear Sourcing,Casablanca,Subsidiary (Adidas),Global — Germany HQ,Very High — English corporate
400,IKEA Sourcing Morocco,Home Textile Sourcing,Casablanca,Franchise/Sourcing,Global — Sweden HQ,Very High — English IKEA standards
401,MTA Morocco,Auto Electronics,Kénitra (AFZ),Subsidiary (MTA),Global — Italy HQ,Very High — English engineering
402,Hirschmann Automotive Morocco,Connectors / Sensors,Kénitra (AFZ),Subsidiary,Global — Austria HQ,Very High — English corporate
403,Gestamp Morocco,Metal Auto Components,Kénitra (AFZ),Subsidiary (Gestamp),Global — Spain HQ,High — English manufacturing mgmt
404,Benteler Automotive Morocco,Auto Structures,Kénitra (AFZ),Subsidiary (Benteler),Global — Germany HQ,Very High — English corporate
405,ACAPLAST Group Morocco,Rubber / Plastic Auto,Kénitra (AFZ),Subsidiary,Global — France HQ,High — English quality mgmt
406,Marquardt Morocco,Switches / Electronics,Tangier,Subsidiary (Marquardt),Global — Germany HQ,Very High — English engineering
407,Nexteer Automotive Morocco,Steering Systems,Kénitra,Subsidiary (Nexteer),Global — US/China HQ,Very High — English corporate
408,BorgWarner Morocco,Powertrain / EV,Tangier,Subsidiary (BorgWarner),Global — US HQ,Very High — English corporate
409,Continental Morocco,Auto Tech / Tires,Tangier,Subsidiary (Continental),Global — Germany HQ,Very High — English corporate
410,Magna Morocco,Auto Parts,Kénitra,Subsidiary (Magna),Global — Canada HQ,Very High — English corporate
411,Faurecia Morocco (Forvia),Interior / Clean Mobility,Kénitra,Subsidiary (Forvia),Global — France HQ,Very High — English engineering
412,Plastic Omnium Morocco,Auto Exterior / Energy,Kénitra,Subsidiary,Global — France HQ,Very High — English corporate
413,Novares Morocco,Plastic Auto Parts,Tangier,Subsidiary (Novares),Global — France HQ,High — English product management
414,MGI Coutier Morocco,Fluid Systems / Auto,Tangier,Subsidiary,Global — France HQ,High — English quality
415,Leoni Morocco,Cables / Wiring,Various,Subsidiary (Leoni),Global — Germany HQ,Very High — English corporate
416,Draexlmaier Morocco,Auto Interior / Wiring,Kénitra,Subsidiary (Draexlmaier),Global — Germany HQ,Very High — English corporate
417,Brose Morocco,Auto Mechatronics,Tangier,Subsidiary (Brose),Global — Germany HQ,Very High — English engineering
418,ZF Morocco,Auto Driveline / Safety,Tangier,Subsidiary (ZF),Global — Germany HQ,Very High — English corporate
419,AMADA Morocco,Metalworking,Casablanca,Subsidiary (AMADA),Global — Japan HQ,Very High — English technical
420,Mahle Morocco,Engine Components,Tangier,Subsidiary (Mahle),Global — Germany HQ,Very High — English corporate
421,Gentherm Morocco,Thermal Mgmt / Auto,Tangier,Subsidiary (Gentherm),Global — US HQ,Very High — English engineering
422,Premo Morocco,Auto Magnetics,Tangier,Subsidiary (Premo),Global — Spain HQ,High — English engineering
423,Delphi Technologies Morocco,Auto Powertrain,Tangier,Subsidiary (BorgWarner),Global — US HQ,Very High — English corporate
424,Trèves Morocco,Auto Interior / Acoustic,Tangier,Subsidiary (Trèves),Global — France HQ,High — English operations
425,Mecaplast / Novares Morocco,Plastic Systems,Kénitra,Subsidiary,Global — France HQ,High — English manufacturing
426,Sews Cabind Morocco,Wiring Harness,Tangier,Subsidiary (Sumitomo),Global — Japan HQ,Very High — English reporting
427,Peugeot Citroën Automobiles Morocco,Auto Assembly Partner,Kénitra,Partnership (Stellantis),Global,Very High — English operations
428,Valeo Lighting Morocco,Auto Lighting,Tangier,Subsidiary (Valeo),Global — France HQ,Very High — English engineering
429,Tuyauto Gestamp,Metal Stamping / Auto,Kénitra,JV (Gestamp),Global,High — English reporting
430,Saint-Gobain Sekurit Morocco,Auto Glass,Kénitra,Subsidiary (Saint-Gobain),Global — France HQ,Very High — English corporate
431,Plastic Electromechanic Company (PEC),Plastic / Electronics,Tangier,Established,EU export,High — English customer mgmt
432,SNOP Morocco,Metal Stamping / Auto,Tangier,Subsidiary (SNOP),Global — France HQ,High — English quality management
433,Hutchinson Morocco,Rubber / Vibration Control,Tangier,Subsidiary (TotalEnergies),Global — France HQ,Very High — English corporate
434,NTN-SNR Morocco,Bearings / Auto,Tangier,Subsidiary (NTN),Global — Japan HQ,Very High — English technical
435,Fisco Morocco,Wiring / Auto,Tangier,Established,EU automotive export,High — English supply chain
436,HEM Business School (LCI),Business Education,Casablanca & Tangier,Subsidiary (LCI Education),60+ international partners,Very High — English programs & faculty
437,Rabat Business School (UIR),Business Education,Rabat,Established (UIR),"AACSB accredited, 170+ partners",Very High — English MBA programs
438,ESCA École de Management,Business School,Casablanca,Established,International partnerships,Very High — English executive education
439,ESLSCA Business School Rabat,Business Education,Rabat,Subsidiary (Planeta),Global — Spain/France HQ,Very High — English programs
440,EMAA Business School,Business Education,Casablanca,Established,"US, UK, Spain partners",Very High — English pathway programs
441,UM6P (Mohammed VI Polytechnic),University / Research,Benguerir,Established (OCP Foundation),Global research partnerships,Very High — English research & teaching
442,Al Akhawayn University,University,Ifrane,Established,"US-style education, English medium",Very High — English-only instruction
443,Mundiapolis University,Private University,Casablanca,Established,International accreditations,High — English programs
444,ENCG Network (Public Business Schools),Business Education,Multiple cities,State,International exchange programs,High — English business programs
445,Institut Supérieur de Commerce (ISC),Business Education,Casablanca,Established,Europe partnerships,High — English business tracks
446,Toulouse Business School Casablanca,Business Education,Casablanca,Subsidiary (TBS),Global — France HQ,Very High — English medium programs
447,INPT (Telecom Engineering),Engineering / Telecom,Rabat,State,International tech partnerships,High — English technical programs
448,ENSIAS (Engineering School),IT / Engineering,Rabat,State,"International research, exchanges",High — English tech research
449,École Centrale Casablanca,Engineering,Casablanca,Public-Private,France partner network,High — English engineering
450,Euromed University of Fes,Private University,Fès,Established (UEMF),"EU, Mediterranean partnerships",High — English programs
451,British International School,K-12 Education,Multiple,Established,UK curriculum,Very High — English primary medium
452,American School Casablanca,K-12 Education,Casablanca,Established,US curriculum,Very High — English primary medium
453,George Washington Academy,K-12 Education,Casablanca,Established,US curriculum,Very High — English primary medium
454,Smartprof,EdTech,Casablanca,Seed,"Morocco, Africa",High — English platform
455,GoMyCode Morocco,EdTech / Coding Bootcamp,Casablanca,Subsidiary,"Africa, Middle East",High — English tech curriculum
456,1337 / 42 Network School,Coding School,Khouribga & Benguerir,Established (OCP/UM6P),42 Network — global,Very High — English coding education
457,Réseau Esprit Morocco,Education Group,Multiple,Subsidiary (Esprit Group),"Tunisia, France partnerships",High — English engineering programs
458,SUP'RH,HR Training School,Casablanca,Established,Morocco,Medium-High — English HR programs
459,E-learning Academy MA,Online Education,Casablanca,Growth,International students,High — English online courses
460,Tekne Formation,Technical Training,Casablanca,Established,"Europe, Africa",High — English technical training
461,Colorado (Akwa Group),Paints / Coatings,Casablanca,Established (Akwa),"Morocco, Africa","High — English R&D, international sourcing"
462,Atlas Peintures,Paints / Coatings,Casablanca,Established,"Morocco, Africa",Medium-High — English sourcing
463,Jotun Maroc,Paints / Coatings,Casablanca,Subsidiary (Jotun),Global — Norway HQ,Very High — English corporate
464,Akzo Nobel Morocco,Paints / Chemicals,Casablanca,Subsidiary (Akzo Nobel),Global — Netherlands HQ,Very High — English corporate
465,PPG Morocco,Coatings / Specialty,Casablanca,Subsidiary (PPG),Global — US HQ,Very High — English corporate
466,Hempel Morocco,Coatings,Casablanca,Subsidiary (Hempel),Global — Denmark HQ,Very High — English corporate
467,BASF Morocco,Chemicals,Casablanca,Subsidiary (BASF),Global — Germany HQ,Very High — English corporate language
468,Air Liquide Morocco,Industrial Gases,Casablanca,Subsidiary (Air Liquide),Global — France HQ,Very High — English corporate
469,Linde Morocco,Industrial Gases,Casablanca,Subsidiary (Linde),Global — UK/Germany HQ,Very High — English corporate
470,SCE Chemicals,Chemical Raw Materials,Casablanca,Established,"Export to Europe, Africa",High — English trade docs
471,Éléphant Vert Groupe,Organic Fertilizer,Meknès,Established,Africa (multiple countries),High — English African operations
472,MagPhos (OCP subsidiary),Specialty Phosphates,Jorf Lasfar,Subsidiary (OCP),Global via parent,Very High — English technical
473,Prayon Morocco,Phosphoric Acid,Jorf Lasfar,Subsidiary (Prayon),Global — Belgium HQ,Very High — English corporate
474,SNEP (Société Nationale d'Électrolyse),Chlor-alkali / PVC,Mohammedia,Listed (Casablanca Bourse),"Morocco, export",High — English trade operations
475,Maghreb Oxygène,Industrial Gases,Casablanca,Listed (Casablanca Bourse),Morocco,Medium-High — English partnerships
476,Charaf Corporation,Chemicals / Packaging,Casablanca,Established,"Export Africa, EU",High — English export operations
477,Maghreb Steel,Steel Manufacturing,Casablanca,Established,"Morocco, Africa export",High — English international sales
478,Delattre Levivier Maroc,Metal Structures / Industrial,Casablanca,Listed (Casablanca Bourse),"Morocco, Africa",High — English engineering
479,Stroc Industrie,Industrial Construction,Casablanca,Listed (Casablanca Bourse),"Morocco, Africa, Middle East",High — English project management
480,Nexans Morocco,Cables / Electrical,Casablanca,Subsidiary (Nexans),Global — France HQ,Very High — English corporate
481,Legrand Morocco,Electrical Infrastructure,Casablanca,Subsidiary (Legrand),Global — France HQ,Very High — English corporate
482,ABB Morocco,Automation / Power,Casablanca,Subsidiary (ABB),Global — Switzerland HQ,Very High — English corporate
483,Siemens Morocco,Industrial Automation,Casablanca,Subsidiary (Siemens),Global — Germany HQ,Very High — English corporate
484,Mitsubishi Electric Morocco,Automation / HVAC,Casablanca,Subsidiary (Mitsubishi),Global — Japan HQ,Very High — English corporate
485,Emerson Morocco,Automation,Casablanca,Subsidiary (Emerson),Global — US HQ,Very High — English corporate
486,Honeywell Morocco,Automation / Safety,Casablanca,Subsidiary (Honeywell),Global — US HQ,Very High — English corporate
487,Danfoss Morocco,Climate / Drives,Casablanca,Subsidiary (Danfoss),Global — Denmark HQ,Very High — English corporate
488,Weidmüller Morocco,Industrial Connectivity,Casablanca,Subsidiary (Weidmüller),Global — Germany HQ,Very High — English technical
489,Eaton Morocco,Power Management,Casablanca,Subsidiary (Eaton),Global — Ireland/US HQ,Very High — English corporate
490,Parker Hannifin Morocco,Motion / Control,Casablanca,Subsidiary (Parker),Global — US HQ,Very High — English corporate
491,SKF Morocco,Bearings / Seals,Casablanca,Subsidiary (SKF),Global — Sweden HQ,Very High — English corporate
492,Atlas Copco Morocco,Compressors / Industrial,Casablanca,Subsidiary (Atlas Copco),Global — Sweden HQ,Very High — English corporate
493,Danaher Morocco,Life Sciences / Diagnostics,Casablanca,Subsidiary (Danaher),Global — US HQ,Very High — English corporate
494,3M Morocco,Diversified Industrial,Casablanca,Subsidiary (3M),Global — US HQ,Very High — English corporate
495,Pall Morocco (Danaher),Filtration,Casablanca,Subsidiary (Danaher),Global — US HQ,Very High — English corporate
496,Al Mada (ex-SNI),Investment Holding,Casablanca,Established (Royal),Pan-African — stakes in 30+ companies,Very High — English investor relations
497,CDG (Caisse de Dépôt et de Gestion),Institutional Investor,Rabat,State institution,"Morocco, Africa, int'l partnerships",High — English institutional comms
498,Akwa Group,Conglomerate / Energy,Casablanca,Established,"Morocco, Africa",High — English corporate affairs
499,Holmarcom Group,Conglomerate / Insurance,Casablanca,Established,"Africa, Europe partnerships",High — English corporate
500,Saham Group (Sanlam),Insurance / Diversified,Casablanca,Subsidiary (Sanlam SA),44 African countries,Very High — English pan-African ops
501,Finance.com (Benjelloun Group),Holding / Finance,Casablanca,Established,Africa via Bank of Africa,Very High — English banking
502,FinanceCom / RMA Group,Holding / Insurance,Casablanca,Established,Africa,High — English investor relations
503,ONA (Omnium Nord-Africain legacy),Diversified Holding,Casablanca,Merged into Al Mada,"Africa, international",High — English legacy operations
504,Ynna Holding (Chaabi Group),Conglomerate,Casablanca,Established,"Africa, Europe",High — English corporate
505,BMCE Capital (BOA Group),Investment Banking,Casablanca,Subsidiary (BOA),"Africa, international",Very High — English deal-making
506,Wafa Gestion,Asset Management,Casablanca,Subsidiary (Attijariwafa),"Morocco, Africa",High — English portfolio mgmt
